country_name,year,gdp_growth,unemployment,inflation
Ireland,1990,8.46652776398362,,3.31732886680118
Ireland,1991,1.9296401741083,15.771,3.21081037142378
Ireland,1992,3.34327412603812,15.021,3.06999853835904
Ireland,1993,2.69260841466448,15.571,1.46941522411422
Ireland,1994,5.75582797061618,14.544,2.30920192610951
Ireland,1995,9.63442136559036,11.97,2.52486446780802
Ireland,1996,7.37962465765875,11.692,1.75574469607419
Ireland,1997,11.0217650823433,10.191,1.5418020226137
Ireland,1998,8.7661226571214,7.699,2.40768094534715
Ireland,1999,10.5298856427062,5.804,1.62988605221407
Ireland,2000,9.40352476399653,4.318,5.57763269940387
Ireland,2001,5.30582133514299,3.684,4.85280279607477
Ireland,2002,5.89936506079005,4.216,4.62820512820515
Ireland,2003,3.01383869396012,4.478,3.49221909079765
Ireland,2004,6.78813990621356,4.491,2.17854605730523
Ireland,2005,5.73978202625278,4.237,2.45654692931639
Ireland,2006,4.98785364537615,4.355,3.93576114001354
Ireland,2007,5.31011830898613,4.98,4.88574537540802
Ireland,2008,-4.48407081043062,6.774,4.03568834941391
Ireland,2009,-5.09578277913846,12.609,-4.44754686876746
Ireland,2010,1.68297175486512,14.534,-0.918388645376774
Ireland,2011,1.60886648916944,15.354,2.5489783020855
Ireland,2012,-0.40502941658977,15.451,1.69474116680366
Ireland,2013,2.1929375750029,13.735,0.515099484900573
Ireland,2014,9.38579335130922,11.858,0.190916398713745
Ireland,2015,24.6239856364006,9.908,-0.330959783371788
Ireland,2016,1.22271661130947,8.374,0.0201247735963237
Ireland,2017,10.1088576065965,6.713,0.362173038229378
Ireland,2018,7.68865937437435,5.741,0.471130713712916
Ireland,2019,4.97288003766816,4.95,0.937842961189274
Ireland,2020,7.15369505735335,5.623,-0.326183651280033
Italy,1988,4.19437725054567,,5.05824747667119
Italy,1989,3.38838350504491,,6.25983137956977
Italy,1990,1.98577491758405,,6.456609061464
Italy,1991,1.53844759206665,10.097,6.24999929790291
Italy,1992,0.834275417393798,9.321,5.2705899859293
Italy,1993,-0.852805731913904,10.212,4.62673468331298
Italy,1994,2.15102367074849,11.086,4.05184218065716
Italy,1995,2.88683671925843,11.661,5.23542258044301
Italy,1996,1.34558477192847,11.864,4.0069766898104
Italy,1997,1.92572122608527,11.985,2.04310779750136
Italy,1998,1.8043732818638,12.117,1.95508557719381
Italy,1999,1.67799157943422,11.681,1.66345995007714
Italy,2000,3.88209885062652,10.834,2.53768532095002
Italy,2001,2.00643329837733,9.599,2.78516542713554
Italy,2002,0.26992966378873,9.211,2.46532319171165
Italy,2003,0.0665538088732092,8.869,2.6725555277285
Italy,2004,1.4740217064723,7.866,2.20673661423657
Italy,2005,0.762410677306491,7.73,1.9852929852798
Italy,2006,1.79947992234244,6.777,2.09084391012754
Italy,2007,1.46229205289291,6.076,1.82974112202403
Italy,2008,-1.02313851177097,6.723,3.34783258401022
Italy,2009,-5.30515401233991,7.749,0.774768131387381
Italy,2010,1.52910573247101,8.363,1.52551602118248
Italy,2011,0.695463154440176,8.359,2.78063272879323
Italy,2012,-3.12523877282996,10.655,3.04136333226775
Italy,2013,-1.81802510749792,12.149,1.21999342274306
Italy,2014,-0.0013876173045446,12.683,0.241047429826756
Italy,2015,0.885667635240807,11.896,0.0387903996579733
Italy,2016,1.23622108511661,11.688,-0.09401665691575
Italy,2017,1.60369995294101,11.211,1.22653316645812
Italy,2018,0.826646712344115,10.538,1.13748763600391
Italy,2019,0.429162533780342,9.884,0.611246943765304
Italy,2020,-8.86822122185345,9.192,-0.13770757391651
Japan,1988,6.66163652210332,,0.678557580457558
Japan,1989,4.92578541317788,,2.27228962064317
Japan,1990,4.84092905699353,,3.0785162869516
Japan,1991,3.52335723553459,2.059,3.25143848753308
Japan,1992,0.900586066438109,2.158,1.7602830605927
Japan,1993,-0.459219716250544,2.539,1.24304589707924
Japan,1994,1.0833831743207,2.89,0.695458057869004
Japan,1995,2.6309996164206,3.15,-0.127899045020446
Japan,1996,3.13387099272759,3.383,0.136600358575909
Japan,1997,0.981228732290873,3.374,1.74780458692133
Japan,1998,-1.27033049466078,4.078,0.661974191385911
Japan,1999,-0.333929957687772,4.677,-0.341296928327554
Japan,2000,2.76464755136783,4.748,-0.676578683595175
Japan,2001,0.386103426142029,5.02,-0.740055504162738
Japan,2002,0.0419624992862282,5.386,-0.923494026942321
Japan,2003,1.53512549946694,5.251,-0.256541816316025
Japan,2004,2.18611569439318,4.734,-0.0085733882031027
Japan,2005,1.80390087215821,4.446,-0.282946068764391
Japan,2006,1.3723501275831,4.192,0.249355116079085
Japan,2007,1.48396941157472,3.888,0.060039454498669
Japan,2008,-1.22428900061713,4.002,1.3800788616492
Japan,2009,-5.69323635892741,5.068,-1.35283672951719
Japan,2010,4.09791791943181,5.102,-0.728243207517779
Japan,2011,0.0238095237995424,4.55,-0.27245561610124
Japan,2012,1.37475099905274,4.358,-0.0440645104432602
Japan,2013,2.00510017681211,4.038,0.335037912184741
Japan,2014,0.296205514141889,3.589,2.75922671353253
Japan,2015,1.56062669680782,3.385,0.795279630579839
Japan,2016,0.753826745789127,3.132,-0.127258844489754
Japan,2017,1.67533175173359,2.822,0.484199796126385
Japan,2018,0.643391023533141,2.467,0.989094598021848
Japan,2019,-0.402169200894946,2.351,0.46877615938395
Japan,2020,-4.16876457146743,2.809,-0.024995834027731
South Korea,1988,12.1331951107172,,7.14609773721605
South Korea,1989,7.16501737923842,,5.70016544561401
South Korea,1990,10.0248996213899,,8.57327225728677
South Korea,1991,10.8749739277708,2.407,9.33279048161495
South Korea,1992,6.35159199606441,2.513,6.21328146355184
South Korea,1993,6.99471791742556,2.878,4.80099660215354
South Korea,1994,9.3718357757101,2.476,6.26585950039679
South Korea,1995,9.7358937505409,2.063,4.48074108557248
South Korea,1996,7.99042982526839,2.048,4.92454354292754
South Korea,1997,6.2821926537929,2.608,4.4389318457463
South Korea,1998,-4.9389297463141,6.963,7.51358008079307
South Korea,1999,11.6172629559591,6.342,0.81295725444637
South Korea,2000,9.2018583880479,4.063,2.25916580080157
South Korea,2001,4.72593560322356,3.699,4.06657587897792
South Korea,2002,7.74399895319569,3.046,2.76226210296599
South Korea,2003,3.07472661826947,3.348,3.51487451459939
South Korea,2004,5.1836368597334,3.42,3.59066298882578
South Korea,2005,4.35823667337156,3.482,2.75379162735039
South Korea,2006,5.24500550580342,3.254,2.24234028518921
South Korea,2007,5.8419633918717,3.013,2.53457382137932
South Korea,2008,3.00440451679569,2.959,4.67389655533408
South Korea,2009,0.81986175641795,3.363,2.7564965449393
South Korea,2010,6.98166138853071,3.324,2.93928652655686
South Korea,2011,3.6880320602952,2.992,4.0259650043609
South Korea,2012,2.54766550568242,2.812,2.18707104433314
South Korea,2013,3.2913959543442,3.067,1.30134754547413
South Korea,2014,3.21468019683108,3.082,1.27477446401322
South Korea,2015,2.92029267301234,3.546,0.70633177245575
South Korea,2016,3.17152748983935,3.65,0.971685739912168
South Korea,2017,3.433191763972,3.653,1.94433230786366
South Korea,2018,3.17611568177327,3.824,1.47583935002645
South Korea,2019,2.31380210595475,3.746,0.383000303608136
South Korea,2020,-0.700242317542106,3.931,0.537288023411737
Luxembourg,1988,8.46328527903233,,1.43659056634904
Luxembourg,1989,9.79805997542229,,3.37095887290443
Luxembourg,1990,5.31993336839281,,3.25376659083639
Luxembourg,1991,8.64419071515121,1.482,3.11835659874851
Luxembourg,1992,1.81965297334699,2.029,3.15417375961789
Luxembourg,1993,4.20064695547975,2.33,3.58809818535164
Luxembourg,1994,3.82092168668748,3.479,2.1947646868907
Luxembourg,1995,1.43220019776147,2.918,1.86769424969105
Luxembourg,1996,1.39807549779829,3.286,1.18385968843571
Luxembourg,1997,5.41983084056754,2.527,1.36751261207943
Luxembourg,1998,6.67451290702765,2.763,0.958570110494674
Luxembourg,1999,8.17518184900963,2.39,1.02519676474932
Luxembourg,2000,6.93812976136098,2.345,3.15076707022592
Luxembourg,2001,3.07435550952719,1.805,2.66382110579103
Luxembourg,2002,3.22541782301025,2.621,2.07408613571643
Luxembourg,2003,2.61937861354482,3.675,2.04984030563518
Luxembourg,2004,4.23188928835465,5.113,2.22567916428889
Luxembourg,2005,2.48287498468387,4.488,2.48769665164088
Luxembourg,2006,6.0167154014547,4.731,2.66631494577069
Luxembourg,2007,8.09866723048083,4.065,2.31245861786127
Luxembourg,2008,-0.300175624936841,5.06,3.40187963025571
Luxembourg,2009,-3.23895409147492,5.194,0.368041997888887
Luxembourg,2010,3.76041454320028,4.423,2.2736791162154
Luxembourg,2011,1.04429855323325,5.122,3.41068341068342
Luxembourg,2012,1.64990212764553,5.03,2.66284165508021
